NumMensaje,Algoritmo,MensajeOriginalASCII,LargoOriginalASCII,MensajeBinario,LargoBinario,MensajeCodificado,LargoCodificado,MensajeEnviado,NoiseProb,BitsFlippeados
1,crc,htadhsvrukm,11,0110100001110100011000010110010001101000011100110111011001110010011101010110101101101101,88,011010000111010001100001011001000110100001110011011101100111001001110101011010110110110100000100111100001101110101110010,120,011010000111010001100001010001000110100001110011011101100111001001110101011010110110110100000100111100001101110101110010,0.001,1
2,crc,ndukyaaneuk,11,0110111001100100011101010110101101111001011000010110000101101110011001010111010101101011,88,011011100110010001110101011010110111100101100001011000010110111001100101011101010110101110000101010110110011100111001101,120,011011100110010001110101011010110111100101100001011000010110111001100101011101010110101110000101010110110011100111001101,0.001,0
3,crc,roehtenrsdroli,14,0111001001101111011001010110100001110100011001010110111001110010011100110110010001110010011011110110110001101001,112,011100100110111101100101011010000111010001100101011011100111001001110011011001000111001001101111011011000110100101100000100000000100100000011100,144,011100100110111101100101011010000111010001100101011011100111001001110011011001000111001001101111011011000110100101100000100000000100100000011100,0.001,0
4,crc,vontptmmarvpc,13,01110110011011110110111001110100011100000111010001101101011011010110000101110010011101100111000001100011,104,0111011001101111011011100111010001110000011101000110110101101101011000010111001001110110011100000110001111111010100011011000100001111100,136,0111011001101111011011100111010001110000011101000110110101101101011000010111001001110110011100000110001111111010100011011000100001111100,0.001,0
5,crc,lkuukbihbf,10,01101100011010110111010101110101011010110110001001101001011010000110001001100110,80,0110110001101011011101010111010101101011011000100110100101101000011000100110011011011110101101101100011101100100,112,0110110001101011011101010111010101101011011000100110100101101000011000100110011011011110101101101100011101100100,0.001,0
6,crc,pqxvr,5,0111000001110001011110000111011001110010,40,011100000111000101111000011101100111001001110001111111110010011110100011,72,011100000111000101111000011101100111001001110001111111110010011110100011,0.001,0
7,crc,yiuoyambnlk,11,0111100101101001011101010110111101111001011000010110110101100010011011100110110001101011,88,011110010110100101110101011011110111100101100001011011010110001001101110011011000110101101101011010100010111100110001111,120,011110010110100101110101011011110111100101100001011011010110001001101110011011000110101101101011010100010111100110001111,0.001,0
8,crc,oxoodsumcrzgbn,14,0110111101111000011011110110111101100100011100110111010101101101011000110111001001111010011001110110001001101110,112,011011110111100001101111011011110110010001110011011101010110110101100011011100100111101001100111011000100110111011010100101101011000001111000001,144,011011110111100001101111011011110110010001110011011101010110110101100011011100100111101001100111011000100110111011010100101101011000001111000001,0.001,0
9,crc,kuvxuqkqcbn,11,0110101101110101011101100111100001110101011100010110101101110001011000110110001001101110,88,011010110111010101110110011110000111010101110001011010110111000101100011011000100110111000000000000000010100111001111000,120,011010110111010101110110011110000111010101110001011010110111000101100011011000100110111000000000000000010100111001111000,0.001,0
10,crc,bgbryiw,7,01100010011001110110001001110010011110010110100101110111,56,0110001001100111011000100111001001111001011010010111011110010111000011101001011011000100,88,0110001001100111011000100111001001111001011010010111011110010111000011101001011011000100,0.001,0
11,crc,freuqlicqhv,11,0110011001110010011001010111010101110001011011000110100101100011011100010110100001110110,88,011001100111001001100101011101010111000101101100011010010110001101110001011010000111011000011010111101111000110110000011,120,011001100111001001100101011101010111000101101100011010010110001101110001011010000111011000011010111101111000110110000011,0.001,0
12,crc,rwjlllglbqyox,13,01110010011101110110101001101100011011000110110001100111011011000110001001110001011110010110111101111000,104,0111001001110111011010100110110001101100011011000110011101101100011000100111000101111001011011110111100000100111011100001000100100010111,136,0111001001110111011010100110110001101100011011000110011101101100011000100111000101111001011011110111100000100111011100100000100100010111,0.001,2
13,crc,efhdjkqtuzju,12,011001010110011001101000011001000110101001101011011100010111010001110101011110100110101001110101,96,01100101011001100110100001100100011010100110101101110001011101000111010101111010011010100111010100001110101101101001001010010001,128,01100101011001100110100001100100011010100110101101110001011101000111010101111010011010100111010100001110101101101001001010010001,0.001,0
14,crc,omrtwwber,9,011011110110110101110010011101000111011101110111011000100110010101110010,72,01101111011011010111001001110100011101110111011101100010011001010111001010010101101100010101010100100010,104,01101111011011010111001001110100011101110111011101100010011001010111001010010101101100010101010100100010,0.001,0
15,crc,lvkarmocpdse,12,011011000111011001101011011000010111001001101101011011110110001101110000011001000111001101100101,96,01101100011101100110101101100001011100100110110101101111011000110111000001100100011100110110010100011100000010100110001001101110,128,01101100011101100110101101100001011100100110110101101111011000110111000001100100011100110110010100011100000010100110001001101110,0.001,0
16,crc,yijuph,6,011110010110100101101010011101010111000001101000,48,01111001011010010110101001110101011100000110100001100011001110101100010111010110,80,01111001011010010110101001110101011100000110100001100011001110101100010111010110,0.001,0
17,crc,qpujzbhswg,10,01110001011100000111010101101010011110100110001001101000011100110111011101100111,80,0111000101110000011101010110101001111010011000100110100001110011011101110110011110010011000100101101000111111111,112,0111000101110000011101010110101001111010011000100110100001110011011101110110011110010011000100101101000111111111,0.001,0
