NumMensaje,Algoritmo,MensajeOriginalASCII,LargoOriginalASCII,MensajeBinario,LargoBinario,MensajeCodificado,LargoCodificado,MensajeEnviado,NoiseProb,BitsFlippeados
1,hamming,pohuhg,6,011100000110111101101000011101010110100001100111,48,010011100000011101111011010000101101010110100001100111,54,010011100000011101111011010000101101010110100001100111,0.001,0
2,hamming,yxzfokmtezhiiz,14,0111100101111000011110100110011001101111011010110110110101110100011001010111101001101000011010010110100101111010,112,11001111100101111100001111010010100110011011110110101101101101011110100011001010111101001101000011010010110100101111010,119,11001111100101111100001111010010100110011011110110101101101101011110100011001010111101001101000011010010110100101111010,0.001,0
3,hamming,squkyjuupxvnqs,14,0111001101110001011101010110101101111001011010100111010101110101011100000111100001110110011011100111000101110011,112,11011111001101111000101110101010101011011110010110101001110101011110101011100000111100001110110011011100111000101110011,119,11011111001101111000101110101010101011011110010110101001110101011110101011100000111100001110110011011100111000101110011,0.001,0
4,hamming,ztotct,6,011110100111010001101111011101000110001101110100,48,110111101010011110100011011110111101000110001101110100,54,110111101010011110100011011110111101000110001101110100,0.001,0
5,hamming,afjmypcxt,9,011000010110011001101010011011010111100101110000011000110111100001110100,72,1000110000010110001100110101001010110101111001011100000110001100111100001110100,79,1000110000010110001100110101001010110101111001011100000110001100111100001110100,0.001,0
6,hamming,ixwbonckbiug,12,011010010111100001110111011000100110111101101110011000110110101101100010011010010111010101100111,96,1000110010010111110000111011101010001001101111011011100110001100110101101100010011010010111010101100111,103,1000110010010111110000111011101010001001101111011011100110001100110101101100010011010010111010101100111,0.001,0
7,hamming,figyikla,8,0110011001101001011001110111100101101001011010110110110001100001,64,11011101011001110100101100111011111001011010010110101101101100011100001,71,11011101011001110100101100111011111001011010010110101101101100011100001,0.001,0
8,hamming,xpbdchq,7,01111000011100000110001001100100011000110110100001110001,56,10001110100001101000001100010011100100011000110110100001110001,62,10001110100001101000001100010011100100011000110110100001110001,0.001,0
9,hamming,aqwapqaz,8,0110000101110001011101110110000101110000011100010110000101111010,64,10011101000101101000101110111010100001011100000111000101100001011111010,71,10011101000101101000101110111010100001011100000111000101100001011111010,0.001,0
10,hamming,cccci,5,0110001101100011011000110110001101101001,40,1100110000110111000110110001101110001101101001,46,1100110000110111000110110001101110001101101001,0.001,0
11,hamming,mnrimvq,7,01101101011011100111001001101001011011010111011001110001,56,01011100110101110111001110010011101001011011010111011001110001,62,01011100110101110111001110010011101001011011010111011001110001,0.001,0
12,hamming,lpgjb,5,0110110001110000011001110110101001100010,40,1000110011000111100000110011101010101001100010,46,1000110011000111100000110011101010101001100010,0.001,0
13,hamming,mzzczjgbklvad,13,01101101011110100111101001100011011110100110101001100111011000100110101101101100011101100110000101100100,104,110011011101011111010011110100111000110111101001101010011001110111000100110101101101100011101100110000101100100,111,110011011101011111010011110100111000110111101001101010011001110111000100110101101101100011101100110000101100100,0.001,0
14,hamming,lryxima,7,01101100011100100111100101111000011010010110110101100001,56,10001100110001101001001111001011111000011010010110110101100001,62,10001100110001101001001111001001111000011010010110110101100001,0.001,1
15,hamming,yhpfjupichfhihw,15,011110010110100001110000011001100110101001110101011100000110100101100011011010000110011001101000011010010110100001110111,120,1101111010010111010000111000001110011001101010011101010111000001110100101100011011010000110011001101000011010010110100001110111,127,1101111010010111010000111000001110011001101010011101010111000001110100101100011011010000110011001101000011010010110100001110111,0.001,0
16,hamming,cmoewyfalezve,13,01100011011011010110111101100101011101110111100101100110011000010110110001100101011110100111011001100101,104,110111010011011001101011011110111001010111011101111001011001100111000010110110001100101011110100111011001100101,111,110111010011011001101011011110111001010111011101111001011001100111000010110110001100101011110100111011001100101,0.001,0
17,hamming,rvkjpoxvgc,10,01110010011101100110101101101010011100000110111101111000011101100110011101100011,80,000111100010011110110011010110101010100111000001101111011110000011101100110011101100011,87,000111100010011110110011010110101010100111000001101111011110000011101100110011101100011,0.001,0
18,hamming,xtbbhudd,8,0111100001110100011000100110001001101000011101010110010001100100,64,01011110100001101010001100010011100010011010000111010101100100011100100,71,01011110100001101010001100010011100010011010000111010101100100011100100,0.001,0
19,hamming,fdksexnz,8,0110011001100100011010110111001101100101011110000110111001111010,64,10001100011001100010001101011011110011011001010111100001101110011111010,71,10001100011001100010001101011111110011011001010111100001101110011111010,0.001,1
20,hamming,xergcqphrgcru,13,01111000011001010111001001100111011000110111000101110000011010000111001001100111011000110111001001110101,104,100111111000011100101011100100101001110110001101110001011100000111010000111001001100111011000110111001001110101,111,100111111000011100101011100100101001110110001101110001011100000111010000111001001100111011000110111001001110101,0.001,0
21,hamming,fxyhelpuwmgcwnk,15,011001100111100001111001011010000110010101101100011100000111010101110111011011010110011101100011011101110110111001101011,120,0100110001100111110000111100101110100001100101011011000111000001111010101110111011011010110011101100011011101110110111001101011,127,0100110001100111110000111100101110100001100101011011000111000001111010101110111011011010110011101100011011101110110111001101011,0.001,0
22,hamming,qhfzvedp,8,0111000101101000011001100111101001110110011001010110010001110000,64,10011111000101110100001100110010111010011101100110010101100100011110000,71,10011111000101110100001100110010111010011101100110010101100100011110000,0.001,0
23,hamming,qxdaqfrq,8,0111000101111000011001000110000101110001011001100111001001110001,64,01001110000101101100001100100010100001011100010110011001110010001110001,71,01001110000101101100001100100010100001011100010110011001110010001110001,0.001,0
24,hamming,rkeivbcmppazplo,15,011100100110101101100101011010010111011001100010011000110110110101110000011100000110000101111010011100000110110001101111,120,1000111100100111010110110010101110100101110110011000100110001100110110101110000011100000110000101111010011100000110110001101111,127,1000111100100111010110110010101110100101110110011000100110001100110110101110000011100000110000101111010011100000110110001101111,0.001,0
25,hamming,mmdujklgf,9,011011010110110101100100011101010110101001101011011011000110011101100110,72,0001110011010110011010110010001111010101101010011010110110110001110011101100110,79,0001110011010110011010110010001111010101101010011010110110110001110011101100110,0.001,0
26,hamming,rhuwfevv,8,0111001001101000011101010111011101100110011001010111011001110110,64,10011111001001100100001110101010110111011001100110010101110110011110110,71,10011111001001100100001110101010110111011001100110010101110110011110110,0.001,0
27,hamming,aytohw,6,011000010111100101110100011011110110100001110111,48,100011000001011011001011101000101011110110100001110111,54,100011000001011011001011101000101011110110100001110111,0.001,0
28,hamming,sxlfwmro,8,0111001101111000011011000110011001110111011011010111001001101111,64,10001110001101101100001101100010100110011101110110110101110010001101111,71,10001110001101101100001101100010100110011101110110110101110010001101111,0.001,0
29,hamming,koreugozfjj,11,0110101101101111011100100110010101110101011001110110111101111010011001100110101001101010,88,01001100101101100111101110010011100101011101010110011101101111011111010011001100110101001101010,95,01001100101101100111101110010011100101011101010110011101101111011111010011001100110101001101010,0.001,0
30,hamming,urjejswo,8,0111010101110010011010100110010101101010011100110111011101101111,64,11001110010101101001001101010010100101011010100111001101110111001101111,71,11001110010101101001001101010010100101011010100111001101110111001101111,0.001,0
31,hamming,bybaitpzuzh,11,0110001001111001011000100110000101101001011101000111000001111010011101010111101001101000,88,10001101001001101100101100010011100001011010010111010001110000001111010011101010111101001101000,95,10001101001001101100101100010011100001011010010111010001110000001111010011101010111101001101000,0.001,0
32,hamming,ijkxoregehkfdas,15,011010010110101001101011011110000110111101110010011001010110011101100101011010000110101101100110011001000110000101110011,120,0101110010010110010100110101101011100001101111011100100110010100110011101100101011010000110101101100110011001000110000101110011,127,0101110010010110010100110101101011100001101111011100100110010100110011101100101011010000110101101100110011001000110000101110011,0.001,0
33,hamming,cufibunko,9,011000110111010101100110011010010110001001110101011011100110101101101111,72,0100110000110110101010110011001010100101100010011101010110111001110101101101111,79,0100110000110110101010110011001010100101100010011101010110111001110101101101111,0.001,0
34,hamming,trvwneme,8,0111010001110010011101100111011101101110011001010110110101100101,64,10001110010001111001001110110011110111011011100110010101101101001100101,71,10001110010001111001001110110011110111011011100110010101101101001100101,0.001,0
35,hamming,amggwasbz,9,011000010110110101100111011001110111011101100001011100110110001001111010,72,0100110000010111011010110011101010011101110111011000010111001100110001001111010,79,0100110000010111011010110011101010011101110111011000010111001100110001001111010,0.001,0
36,hamming,awpqwkpzdc,10,01100001011101110111000001110001011101110110101101110000011110100110010001100011,80,100011000001011010111011100000111100010111011101101011011100000011110100110010001100011,87,100011000001011010111011100000111100010111011101101011011100000011110100110010001100011,0.001,0
37,hamming,lijhbll,7,01101100011010010110101001101000011000100110110001101100,56,01011101110001110100101101010011101000011000100110110001101100,62,01011101110001110100101101010011101000011000100110110001101100,0.001,0
38,hamming,rjugktwqxa,10,01110010011010100111010101100111011010110111010001110111011100010111100001100001,80,000111110010011101010011101010111001110110101101110100011101110111100010111100001100001,87,000111110010011101010011101010111001110110101101110100011101110111100010111100001100001,0.001,0
39,hamming,skbiwmi,7,01110011011010110110001001101001011101110110110101101001,56,10001111001101100101101100010010101001011101110110110101101001,62,10001111001101100101101100010010101001011101110110110101101001,0.001,0
40,hamming,zwwdbvsxic,10,01111010011101110111011101100100011000100111011001110011011110000110100101100011,80,010011101010011110111011101110111001000110001001110110011100110011110000110100101100011,87,010011101010011110111011101110111001000110001001110110011100110011110000110100101100011,0.001,0
41,hamming,sotezyzr,8,0111001101101111011101000110010101111010011110010111101001110010,64,11001110001101110111101110100010100101011110100111100101111010001110010,71,11001110001101110111101110100010100101011110100111100101111010001110010,0.001,0
42,hamming,yvzqzcgpndaeasz,15,011110010111011001111010011100010111101001100011011001110111000001101110011001000110000101100101011000010111001101111010,120,1001111110010110101100111101001011000101111010011000110110011101111000001101110011001000110000101100101011000010111001101111010,127,1001111110010110101100111101001011000101111010011000110110011101111000001101110011001000110000101100101011000010111001101111010,0.001,0
43,hamming,fhiawabn,8,0110011001101000011010010110000101110111011000010110001001101110,64,01001101011001100100001101001010100001011101110110000101100010011101110,71,01001101011001100100001101001010100001011101110110000101100010011101110,0.001,0
44,hamming,kemeg,5,0110101101100101011011010110010101100111,40,1100110110110110001010110110101010010101100111,46,1100010110110110001010110110101010010101100111,0.001,1
45,hamming,kbwwnpynq,9,011010110110001001110111011101110110111001110000011110010110111001110001,72,0100110110110110000100111011101011011101101110011100000111100101110111001110001,79,0100110110110110000100111011101011011101101110011100000111100101110111001110001,0.001,0
46,hamming,atgeagpsi,9,011000010111010001100111011001010110000101100111011100000111001101101001,72,0101110000010110101000110011101010010101100001011001110111000001111001101101001,79,0101110000010110101000110011101010010101100001011001110111000001111001101101001,0.001,0
47,hamming,hnjcsngnmvc,11,0110100001101110011010100110001101110011011011100110011101101110011011010111011001100011,88,11011100100001110111001101010010100011011100110110111001100111011101110011011010111011001100011,95,11011100100001110111001101010010100011011100110110111001100111011101110011011010111011001100011,0.001,0
48,hamming,ezbxrfqyt,9,011001010111101001100010011110000111001001100110011100010111100101110100,72,0100110101010111110100110001001111100001110010011001100111000101111100101110100,79,0100110101010111110100110001001111100001110010011001100111000101111100101110100,0.001,0
49,hamming,ttszm,5,0111010001110100011100110111101001101101,40,0000111101000110101000111001101111101001101101,46,0000111101000110101000111001101111101101101101,0.001,1
50,hamming,ubpqxwxxsdthrl,14,0111010101100010011100000111000101111000011101110111100001111000011100110110010001110100011010000111001001101100,112,01001110010101100001001110000010110001011110000111011101111000011111000011100110110010001110100011010000111001001101100,119,01001110010101100001001110000010110001011110000111011101111000011111000011100110110010001110100011010000111001001101100,0.001,0
51,hamming,uhbpwa,6,011101010110100001100010011100000111011101100001,48,100111110101011001000011000100111100000111011101100001,54,100111110101011001000011000100111100000111011101100001,0.001,0
