NumMensaje,Algoritmo,MensajeRecibido,Fix,Success
1,hamming,pohuhg,False,True
2,hamming,yxzfokmtezhiiz,False,True
3,hamming,squkyjuupxvnqs,False,True
4,hamming,ztotct,False,True
5,hamming,afjmypcxt,False,True
6,hamming,ixwbonckbiug,False,True
7,hamming,figyikla,False,True
8,hamming,xpbdchq,False,True
9,hamming,aqwapqaz,False,True
10,hamming,cccci,False,True
11,hamming,mnrimvq,False,True
12,hamming,lpgjb,False,True
13,hamming,mzzczjgbklvad,False,True
14,hamming,lryxima,True,True
15,hamming,yhpfjupichfhihw,False,True
16,hamming,cmoewyfalezve,False,True
17,hamming,rvkjpoxvgc,False,True
18,hamming,xtbbhudd,False,True
19,hamming,fdksexnz,True,True
20,hamming,xergcqphrgcru,False,True
21,hamming,fxyhelpuwmgcwnk,False,True
22,hamming,qhfzvedp,False,True
23,hamming,qxdaqfrq,False,True
24,hamming,rkeivbcmppazplo,False,True
25,hamming,mmdujklgf,False,True
26,hamming,rhuwfevv,False,True
27,hamming,aytohw,False,True
28,hamming,sxlfwmro,False,True
29,hamming,koreugozfjj,False,True
30,hamming,urjejswo,False,True
31,hamming,bybaitpzuzh,False,True
32,hamming,ijkxoregehkfdas,False,True
33,hamming,cufibunko,False,True
34,hamming,trvwneme,False,True
35,hamming,amggwasbz,False,True
36,hamming,awpqwkpzdc,False,True
37,hamming,lijhbll,False,True
38,hamming,rjugktwqxa,False,True
39,hamming,skbiwmi,False,True
40,hamming,zwwdbvsxic,False,True
41,hamming,sotezyzr,False,True
42,hamming,yvzqzcgpndaeasz,False,True
43,hamming,fhiawabn,False,True
44,hamming,kemeg,True,True
45,hamming,kbwwnpynq,False,True
46,hamming,atgeagpsi,False,True
47,hamming,hnjcsngnmvc,False,True
48,hamming,ezbxrfqyt,False,True
49,hamming,ttszm,True,True
50,hamming,ubpqxwxxsdthrl,False,True
51,hamming,uhbpwa,False,True
52,hamming,xlrzjhwljnhhf,False,True
53,hamming,ngbxedpynjw,False,True
54,hamming,sirrth,True,True
55,hamming,fqqnejbu,False,True
56,hamming,ldnippvmlhkbsd,True,True
57,hamming,aapevvlfe,False,True
58,hamming,dvycbdmurfvf,True,True
59,hamming,japmbt,False,True
60,hamming,seweyi,False,True
61,hamming,tidlivsb,False,True
62,hamming,kltbqwvmjrtu,False,True
63,hamming,bdscyquq,False,True
64,hamming,hfitagi,False,True
65,hamming,sqbrstuo,False,True
66,hamming,jvqfeeygb,False,True
67,hamming,gpkxtmiiff,False,True
68,hamming,emizynwddkb,False,True
69,hamming,dbstgbf,False,True
70,hamming,omjjrmbtfjx,False,True
71,hamming,kvakrwigkvumf,False,True
72,hamming,isczabbnsukqkmz,False,True
73,hamming,vuypuyhyjycpor,False,True
74,hamming,cuaswr,False,True
75,hamming,raccfkxixvnhl,False,True
76,hamming,ydcvvpiceiupi,False,True
77,hamming,zpgvidmuredxz,False,True
78,hamming,nmgsvvm,False,True
79,hamming,lpvpvrxmttjtzcl,False,True
80,hamming,qbraurxmmwetqef,False,True
81,hamming,uhjdnpezt,False,True
82,hamming,uqskhqxxzgmud,True,True
83,hamming,ndycqap,False,True
84,hamming,onpmcm,False,True
85,hamming,xgutgsatjqjgzdx,False,True
86,hamming,rwoxnztdlj,False,True
87,hamming,sabbkinpp,False,True
88,hamming,vidcitavkazvznb,True,True
89,hamming,gdkrrgzw,False,True
90,hamming,lvmmodthitscf,False,True
91,hamming,xyweiaftudijtk,True,True
92,hamming,wdogzvur,False,True
93,hamming,enjtlnb,False,True
94,hamming,wrpsftpqcsbrz,False,True
95,hamming,ipgkkluubeh,False,True
96,hamming,fgwrrbg,False,True
97,hamming,cbcvrfqldnxc,True,True
98,hamming,btcctuhrfr,False,True
99,hamming,lgtjxxjmvrdnxm,False,True
100,hamming,rzrtev,False,True
101,hamming,cynghofz,False,True
102,hamming,jfaus,False,True
103,hamming,pbdbwnidc,False,True
104,hamming,ubipvuba,False,True
