NumMensaje,Algoritmo,MensajeRecibido,Fix,Success
1,hamming,nblau,False,True
2,hamming,gpplbg,False,True
3,hamming,jgzbrkpizfbd,False,True
4,hamming,lskxpxaqjepiuv,False,True
5,hamming,lmxxzbnyhbpv,True,True
6,hamming,bulebixlthkj,False,True
7,hamming,xaxgueclukhq,False,True
8,hamming,jvlfnpezxe,False,True
9,hamming,ohbgoagi,False,True
10,hamming,ompwrbuqvvb,False,True
11,hamming,nsuoajbdal,False,True
12,hamming,nxidna,False,True
13,hamming,idhvyoqqntuzn,False,True
14,hamming,hczjqbllgc,False,True
15,hamming,nzwmwvvqslxat,False,True
16,hamming,fwpdd,False,True
17,hamming,awggftxsrbo,False,True
18,hamming,zgtrhkacrticoof,False,True
19,hamming,aeoferyzcnzwe,False,True
20,hamming,umtpxjikrkrbwj,False,True
21,hamming,srbcfgaijc,False,True
22,hamming,byibye,False,True
23,hamming,bsezyxzimxqpnkc,False,True
24,hamming,wgmwwumjijv,False,True
25,hamming,upbsjoixay,False,True
26,hamming,vjjnqecwjnrqgs,False,True
27,hamming,nzjphjvobqyq,False,True
28,hamming,gerakpjqaofp,False,True
29,hamming,xtaywy,False,True
30,hamming,lqrsu,False,True
31,hamming,mkdgoeijhmdp,False,True
32,hamming,gtkyucnhqlxm,False,True
33,hamming,bigaturwal,False,True
34,hamming,whczasinddbacj,False,True
35,hamming,epilsnlld,False,True
36,hamming,xudlwbg,False,True
37,hamming,mdtcntozygbgk,False,True
38,hamming,nkhifwumvolf,False,True
39,hamming,tspyqz,False,True
40,hamming,rcwbdqnbuafv,True,True
41,hamming,lvemd,False,True
42,hamming,jsfdm,False,True
43,hamming,gcuvkleuctgfvi,False,True
44,hamming,cmzdehqw,False,True
45,hamming,csesoxjl,False,True
46,hamming,ppdeftsea,False,True
47,hamming,orcagxnk,False,True
48,hamming,clpohbe,False,True
49,hamming,lrxjxtjdqn,False,True
50,hamming,vjnabyqcikjphlv,False,True
51,hamming,jioomq,False,True
52,hamming,fimyatrkzx,False,True
53,hamming,dnwmirc,False,True
54,hamming,sjqzykffdgfvwx,False,True
55,hamming,zxnvbj,False,True
56,hamming,rxomlhgummmft,False,True
57,hamming,hoycwuw,False,True
58,hamming,psbfiusj,False,True
59,hamming,tafugnlacbmf,False,True
60,hamming,hhzgvfmb,True,True
61,hamming,mdyxvyejbrrzqap,False,True
62,hamming,uijcwselxwzm,False,True
63,hamming,sktrrbrhgyzjr,False,True
64,hamming,gkwqubdawif,False,True
65,hamming,povrjfkkvlnjae,False,True
66,hamming,mvraygzobxysvcw,False,True
67,hamming,ptcjhh,False,True
68,hamming,phtmktfqnjthwmq,False,True
69,hamming,copdjr,False,True
70,hamming,igfkazlslldmp,False,True
71,hamming,pluemzjauipoup,False,True
72,hamming,zfozhjj,False,True
73,hamming,fmuqial,False,True
74,hamming,ctyxkcci,False,True
75,hamming,xaayskepd,False,True
76,hamming,ucwtzioxrgzqibq,False,True
77,hamming,yjwbbcbj,False,True
78,hamming,dalommtctiascc,False,True
79,hamming,vlglxquwftmdo,False,True
80,hamming,cytycxywcoyd,False,True
81,hamming,jildaqodg,False,True
82,hamming,lusiux,False,True
83,hamming,ioliktda,False,True
84,hamming,jviqqtbllfsd,False,True
85,hamming,sqewohj,False,True
86,hamming,bvkrlexmmpvqqgm,False,True
87,hamming,ewinchwarzv,False,True
88,hamming,ruqtluu,False,True
89,hamming,ierdqw,False,True
90,hamming,sjtewvnf,False,True
91,hamming,qzxxzkjg,False,True
92,hamming,cehcxfwbl,False,True
93,hamming,fterrlhuiqw,False,True
94,hamming,bayjptcse,False,True
95,hamming,ihthmwmigvq,False,True
96,hamming,cbvsv,True,True
97,hamming,igomvu,False,True
98,hamming,gzwlgwnbvy,False,True
99,hamming,uxhxpsklofdynx,False,True
100,hamming,mhhyyamzqyodtl,False,True
101,hamming,dqjgccpbkahw,False,True
102,hamming,idomupcfj,False,True
103,hamming,lriawehr,False,True
104,hamming,gbjhqgfmgek,False,True
105,hamming,dtuvdtjjhvzftqf,True,True
106,hamming,olblevylfq,False,True
107,hamming,qrfovjsktmcea,False,True
108,hamming,cyjtaszpcq,True,True
109,hamming,ujixwvmev,False,True
110,hamming,ycldx,False,True
111,hamming,uijdrfwszg,False,True
112,hamming,nfviojmgbi,False,True
113,hamming,bcdkxasuigsb,False,True
114,hamming,aujjddgp,False,True
115,hamming,syqogu,False,True
116,hamming,zdiivmxhzlzqj,True,True
117,hamming,vvldi,False,True
118,hamming,qppcrx,False,True
119,hamming,gpplixrigtpksum,False,True
120,hamming,mvzrbyzdryxs,False,True
121,hamming,fmokbbe,False,True
122,hamming,isrnhjuy,False,True
123,hamming,kcmehw,False,True
124,hamming,kffzict,False,True
125,hamming,elaktdxebn,False,True
126,hamming,kojvwl,False,True
127,hamming,ibcto,False,True
128,hamming,czkpgnw,False,True
129,hamming,svyygqijthdw,True,True
130,hamming,vsuajeomgbjuvnx,True,True
131,hamming,nofdedkvau,False,True
132,hamming,pwscsyxzsfx,False,True
133,hamming,npzzpitpy,False,True
134,hamming,weeysbkivm,False,True
135,hamming,jpjvy,False,True
136,hamming,hempfsgwv,False,True
137,hamming,xmwnkkzipr,False,True
138,hamming,fpvfkzhzwjm,False,True
139,hamming,mhjkswwbkytrj,False,True
140,hamming,paqxlhpifmhzt,False,True
141,hamming,gqsbjc,False,True
142,hamming,axlhqnffotv,False,True
143,hamming,ceaaethcsl,False,True
144,hamming,ccekeshna,True,True
145,hamming,wbwxqpdr,True,True
146,hamming,wnuyktgea,False,True
147,hamming,tpxtpwutplkapn,False,True
148,hamming,iimpmmnbrfpnodv,False,True
149,hamming,dngrmfyvdnsajwe,False,True
150,hamming,vfcflzcfynijs,False,True
151,hamming,qjpqiarbi,False,True
152,hamming,fqzrdwos,False,True
153,hamming,pxoqovuaykx,False,True
154,hamming,pmkpzb,False,True
155,hamming,yfyyj,False,True
156,hamming,vqaahhm,False,True
157,hamming,bavlryfo,False,True
158,hamming,jchyse,False,True
159,hamming,zejlkpmfnswscb,True,True
160,hamming,ujdixjz,True,True
161,hamming,kduip,False,True
162,hamming,pevwjhtbcx,False,True
163,hamming,rjyefkyysg,False,True
164,hamming,dxnhjobrdcilhyj,False,True
165,hamming,dejcuxkmtwimggs,True,True
166,hamming,stuljo,False,True
167,hamming,aubcpoczlxwpm,False,True
168,hamming,wvcwkacmp,False,True
169,hamming,rkguhajuf,False,True
170,hamming,kyqyxk,False,True
171,hamming,totqjezaj,False,True
172,hamming,fuifkrck,False,True
173,hamming,ovvjdeeea,False,True
174,hamming,sitmb,False,True
175,hamming,eihubnn,False,True
176,hamming,tmmufbxqhmxyjp,False,True
177,hamming,pvsblbtf,False,True
178,hamming,bvgbbv,False,True
179,hamming,xlngtq,False,True
180,hamming,ewnlftxnh,False,True
181,hamming,irwdmggsmnfhr,False,True
182,hamming,zynoqsunnay,False,True
183,hamming,skhiiovwleqc,False,True
184,hamming,rmuwgpwxj,False,True
185,hamming,vdaytvos,False,True
186,hamming,kncplx,False,True
187,hamming,onqgh,False,True
188,hamming,bgxuz,False,True
189,hamming,kvstenlzdookd,False,True
190,hamming,eivqzyfegr,False,True
191,hamming,ixgxzkdq,False,True
192,hamming,yjawmmzvygg,False,True
193,hamming,zmhaqbyafd,False,True
194,hamming,lphvjknpnfdles,False,True
195,hamming,efvurem,False,True
196,hamming,jwmrdbtwyz,False,True
197,hamming,pnzfyb,False,True
198,hamming,ijcldqjve,False,True
199,hamming,bwuqtbgmb,True,True
200,hamming,kprkdtjjbemslp,False,True
201,hamming,hcdtecvzya,False,True
202,hamming,lbwqauukgzka,False,True
203,hamming,imoolelbr,False,True
204,hamming,vvyfzhf,False,True
205,hamming,ekuhlrhdlvqrhm,False,True
206,hamming,xmycyfr,False,True
207,hamming,hxunagg,False,True
208,hamming,cadtwleqc,True,True
209,hamming,thoisx,False,True
210,hamming,icgfkho,False,True
211,hamming,efxeyqymg,False,True
212,hamming,vpvqayx,False,True
213,hamming,brfrepsers,False,True
214,hamming,dixth,False,True
215,hamming,xlpafgzfysva,False,True
216,hamming,zspivwdyfbinlel,False,True
217,hamming,csgfeij,False,True
218,hamming,oglzjwvhvksz,False,True
219,hamming,otgkijlghacfwc,False,True
220,hamming,shzswabpymc,False,True
221,hamming,awalhbhfive,False,True
222,hamming,tppqqvnpzuef,False,True
223,hamming,sacsjrslbj,False,True
224,hamming,ruoxkwoxq,False,True
225,hamming,kjldaknajzj,False,True
226,hamming,wcoixbfscmewee,False,True
227,hamming,biaxpilqfwcgpyf,False,True
228,hamming,kjnmp,False,True
229,hamming,wcnuotmig,False,True
230,hamming,aesmucg,False,True
231,hamming,rwfkukdsw,False,True
232,hamming,dlmtknoy,False,True
233,hamming,uupfpwkmoikfviu,False,True
234,hamming,lqtxbqlimmwjln,False,True
235,hamming,rzkxtpoimvqsd,False,True
236,hamming,hmwsbvevgrouqm,False,True
237,hamming,qorgqzx,True,True
238,hamming,pprhrfpzaepahi,False,True
239,hamming,gdhryc,False,True
240,hamming,zqehnjcrxfp,False,True
241,hamming,iwkvmd,False,True
242,hamming,dhgfuelhq,False,True
243,hamming,nfzdrzxzpqr,False,True
244,hamming,bnzggvwtwll,False,True
245,hamming,odksnjkfaf,False,True
246,hamming,sbdjwasen,False,True
247,hamming,gaavlkbmtgy,False,True
248,hamming,adweacrlldcmnvx,False,True
249,hamming,rhtusypfiosw,False,True
250,hamming,lccoaagxdj,False,True
251,hamming,rjnrvmdjginuqpy,False,True
252,hamming,goulahdhl,False,True
253,hamming,vobhhvrbmvoco,False,True
254,hamming,lbeaplwpjiiidt,False,True
255,hamming,mmbcmqez,False,True
256,hamming,ibjodla,False,True
257,hamming,zbufyywqzrkya,False,True
258,hamming,xfgkzcbl,False,True
259,hamming,iqbcbeoi,False,True
260,hamming,xmvgobrvtcsvkc,False,True
261,hamming,qvmndxb,True,True
262,hamming,hfejuujirbujat,False,True
263,hamming,nuoojfrkvslaenv,False,True
264,hamming,yizohleazgtrh,False,True
265,hamming,vfcnnfvpuyk,False,True
266,hamming,mfxaxupddtuapf,False,True
267,hamming,szqttic,False,True
268,hamming,odfwirqtc,False,True
269,hamming,krhollsmrgaade,False,True
270,hamming,zrxepphmjup,False,True
271,hamming,bbuobq,False,True
272,hamming,shputzdfwuun,False,True
273,hamming,tybelcmsrchjm,False,True
274,hamming,darmpuoli,False,True
275,hamming,snikc,False,True
276,hamming,oeakr,False,True
277,hamming,iobgdof,False,True
278,hamming,nivcnuyqpkbc,False,True
279,hamming,rebqxiearql,False,True
280,hamming,jpwmxauptah,False,True
281,hamming,cjueyci,False,True
282,hamming,extqgcei,False,True
283,hamming,esdomsobv,False,True
284,hamming,hnhtujzitpvo,False,True
285,hamming,wemvn,False,True
286,hamming,opdhgrdi,False,True
287,hamming,chdthbiiuwcf,False,True
288,hamming,zqoznsjjcngmox,False,True
289,hamming,ktrcvxyuuvvrzay,False,True
290,hamming,rpcubhtewnqe,False,True
291,hamming,cfdahqlxtfp,True,True
292,hamming,wzsxtzyufkfirr,False,True
293,hamming,rnronvdedcn,False,True
294,hamming,cldnusfk,False,True
295,hamming,iomzsvvihtpbg,False,True
296,hamming,ocdfllx,False,True
297,hamming,ltcleerupd,False,True
298,hamming,tqxknlmz,True,True
299,hamming,qbuclmjokkpi,False,True
300,hamming,zvpvihuxnfip,True,True
301,hamming,vrvkihzjxj,False,True
302,hamming,dqyaredp,False,True
303,hamming,ddefqqt,False,True
304,hamming,leegohv,False,True
305,hamming,dxvmmhymgmnsutq,False,True
306,hamming,xagnl,False,True
307,hamming,azwbrhoyqv,False,True
308,hamming,udhudwvmcx,False,True
309,hamming,wtyasyxihhs,False,True
310,hamming,yelxcbwzfhdaln,False,True
311,hamming,kaegu,False,True
312,hamming,iicbfukyoxvjo,False,True
313,hamming,afvjl,False,True
314,hamming,rgvewmnvs,False,True
315,hamming,fbelywykf,True,True
316,hamming,dwjwtloj,True,True
317,hamming,ajkicmwe,False,True
318,hamming,bvunhixlvwmwyz,False,True
319,hamming,jkykgij,False,True
320,hamming,umvptracejf,False,True
321,hamming,fcaywnpudvd,False,True
322,hamming,kzqbmzlqtldomn,False,True
323,hamming,svmhwrubphrtfc,False,True
324,hamming,abgbvkddjq,False,True
325,hamming,qcekvvhztnsjujr,False,True
326,hamming,kmsvyxe,False,True
327,hamming,mgypdrhycphzrf,False,True
328,hamming,mvqiaop,False,True
329,hamming,wjgouqycranwyr,True,True
330,hamming,cqhffgjxr,False,True
331,hamming,tdkwrneenvywlhy,True,True
332,hamming,seluzuclzzice,False,True
333,hamming,ucksrej,False,True
334,hamming,ovnzfototkfbkgo,False,True
335,hamming,phwiqmls,False,True
336,hamming,vfxrgahkycit,False,True
337,hamming,jfpfflny,False,True
338,hamming,lumfgdagh,False,True
339,hamming,qrpnfoxp,False,True
340,hamming,ozrgcpymng,False,True
341,hamming,dwlquhyvpoxbcpj,False,True
342,hamming,wucrrxgmllscjzh,False,True
343,hamming,fxjtbvuo,False,True
344,hamming,egtlxjewjez,False,True
345,hamming,zcxsnquvcnkbt,False,True
346,hamming,qvljhk,False,True
347,hamming,hsusea,False,True
348,hamming,bituafwr,False,True
349,hamming,tbvsp,False,True
